account_id,label,scheme,t0_amount,t0_direction,t0_country,t0_hour,t0_gap_hours,t1_amount,t1_direction,t1_country,t1_hour,t1_gap_hours,t2_amount,t2_direction,t2_country,t2_hour,t2_gap_hours,t3_amount,t3_direction,t3_country,t3_hour,t3_gap_hours,t4_amount,t4_direction,t4_country,t4_hour,t4_gap_hours,t5_amount,t5_direction,t5_country,t5_hour,t5_gap_hours,t6_amount,t6_direction,t6_country,t6_hour,t6_gap_hours,t7_amount,t7_direction,t7_country,t7_hour,t7_gap_hours,t8_amount,t8_direction,t8_country,t8_hour,t8_gap_hours,t9_amount,t9_direction,t9_country,t9_hour,t9_gap_hours,t10_amount,t10_direction,t10_country,t10_hour,t10_gap_hours,t11_amount,t11_direction,t11_country,t11_hour,t11_gap_hours,t12_amount,t12_direction,t12_country,t12_hour,t12_gap_hours,t13_amount,t13_direction,t13_country,t13_hour,t13_gap_hours,t14_amount,t14_direction,t14_country,t14_hour,t14_gap_hours,t15_amount,t15_direction,t15_country,t15_hour,t15_gap_hours,t16_amount,t16_direction,t16_country,t16_hour,t16_gap_hours,t17_amount,t17_direction,t17_country,t17_hour,t17_gap_hours,t18_amount,t18_direction,t18_country,t18_hour,t18_gap_hours,t19_amount,t19_direction,t19_country,t19_hour,t19_gap_hours,t20_amount,t20_direction,t20_country,t20_hour,t20_gap_hours,t21_amount,t21_direction,t21_country,t21_hour,t21_gap_hours,t22_amount,t22_direction,t22_country,t22_hour,t22_gap_hours,t23_amount,t23_direction,t23_country,t23_hour,t23_gap_hours,t24_amount,t24_direction,t24_country,t24_hour,t24_gap_hours,t25_amount,t25_direction,t25_country,t25_hour,t25_gap_hours,t26_amount,t26_direction,t26_country,t26_hour,t26_gap_hours,t27_amount,t27_direction,t27_country,t27_hour,t27_gap_hours,t28_amount,t28_direction,t28_country,t28_hour,t28_gap_hours,t29_amount,t29_direction,t29_country,t29_hour,t29_gap_hours
521,0,clean,136.13,OUT,GB,16,17.8,35.8,IN,US,16,25.5,7.33,OUT,US,12,33.3,52.94,IN,CA,21,70.6,55.35,IN,CA,19,25.8,97.44,IN,US,12,71.9,272.8,IN,CA,9,27.8,40.28,IN,US,13,32.2,27.52,OUT,CA,15,19.5,21.47,OUT,CA,16,44.6,63.97,IN,US,18,42.0,80.12,OUT,GB,9,19.5,35.29,OUT,GB,12,24.5,101.79,IN,CA,11,23.2,79.23,OUT,CA,17,32.3,56.52,IN,US,19,52.8,26.52,OUT,US,9,35.2,37.13,OUT,CA,9,14.1,7.82,IN,US,11,46.1,65.93,IN,US,12,54.2,55.76,IN,CA,16,32.4,63.48,OUT,US,18,55.8,81.73,IN,US,13,34.9,74.34,IN,GB,11,37.8,49.98,OUT,GB,16,12.9,56.77,OUT,US,17,38.0,17.75,IN,CA,19,55.5,34.23,OUT,GB,14,45.6,56.85,OUT,GB,11,46.2,30.31,IN,GB,18,52.1
737,0,clean,140.37,OUT,US,20,29.2,73.66,OUT,CA,19,13.3,68.07,IN,US,21,29.5,35.7,OUT,GB,13,70.4,29.42,OUT,CA,16,68.6,40.86,IN,US,12,61.6,16.27,OUT,US,21,25.3,66.82,IN,US,12,23.0,56.77,OUT,US,22,47.1,25.87,IN,US,11,56.1,191.51,OUT,CA,11,34.0,88.72,OUT,US,20,28.6,94.96,IN,US,21,62.1,36.97,OUT,US,17,38.7,54.54,OUT,US,15,17.7,90.19,OUT,US,8,52.4,61.7,IN,US,22,44.7,196.67,OUT,US,16,12.6,46.38,IN,US,22,57.1,36.46,OUT,US,8,53.3,90.69,OUT,CA,18,37.9,19.85,OUT,US,9,67.5,114.37,OUT,CA,22,41.5,19.29,IN,US,17,54.4,91.0,IN,US,18,18.8,32.5,OUT,CA,12,35.0,79.94,OUT,GB,11,27.5,112.83,IN,US,17,12.3,61.73,OUT,US,12,12.1,20.91,IN,US,17,68.9
740,0,clean,44.67,IN,CA,8,21.2,66.04,IN,US,15,18.8,80.41,IN,US,14,27.7,60.3,OUT,US,11,47.4,27.84,OUT,GB,9,27.6,38.89,OUT,CA,18,69.6,98.21,OUT,US,13,37.7,21.83,IN,US,16,66.2,37.61,OUT,US,17,36.1,88.06,IN,GB,12,45.6,109.97,IN,CA,14,19.0,46.79,IN,GB,14,57.6,39.29,OUT,US,16,17.3,18.96,IN,US,22,33.0,83.14,IN,US,11,15.7,156.81,OUT,GB,17,34.2,425.01,IN,GB,15,55.4,74.38,OUT,CA,8,22.9,52.42,OUT,US,21,12.2,26.16,OUT,US,21,20.4,12.14,OUT,GB,15,20.5,62.9,OUT,CA,15,60.5,357.91,OUT,US,8,60.1,150.9,IN,US,19,35.3,133.39,IN,US,11,57.4,66.45,IN,US,11,20.1,72.79,OUT,US,11,33.3,7.85,OUT,US,11,53.3,100.49,OUT,CA,8,61.1,34.35,OUT,CA,19,59.4
660,0,clean,251.39,OUT,US,20,28.4,95.11,OUT,US,15,71.7,90.29,OUT,US,10,20.8,52.48,IN,US,16,59.5,109.93,OUT,US,13,24.8,42.18,OUT,US,15,71.3,68.44,IN,US,17,44.5,26.23,IN,US,21,23.8,125.41,OUT,US,11,66.5,68.89,OUT,US,13,18.8,266.67,OUT,CA,15,68.3,370.12,OUT,US,13,66.6,100.55,OUT,US,13,40.7,57.67,IN,GB,11,49.3,25.61,IN,US,13,66.5,112.6,OUT,US,8,35.7,64.6,OUT,GB,12,19.3,83.97,IN,US,19,18.8,217.86,IN,US,15,27.6,28.23,IN,US,22,23.6,26.06,IN,US,8,51.7,45.19,OUT,US,21,17.0,105.32,IN,US,18,44.4,85.11,IN,CA,16,37.8,26.67,OUT,CA,14,35.6,100.01,OUT,US,17,25.8,20.88,OUT,US,16,49.3,27.93,OUT,US,22,69.7,49.78,OUT,GB,21,47.7,35.07,OUT,GB,9,39.2
411,0,clean,26.92,OUT,US,11,68.5,61.22,OUT,US,8,61.7,81.87,OUT,US,17,54.5,93.37,IN,US,18,65.9,8.29,OUT,CA,10,39.0,19.08,IN,CA,14,43.7,42.79,OUT,GB,15,46.3,86.29,OUT,GB,12,15.6,80.75,IN,CA,21,62.5,79.64,IN,CA,22,36.2,40.18,OUT,GB,8,37.4,42.01,IN,CA,14,59.3,30.49,OUT,US,16,52.9,100.94,OUT,US,11,22.3,26.14,IN,US,15,53.5,107.77,OUT,US,14,48.2,64.48,OUT,CA,21,33.3,52.67,OUT,US,10,58.9,32.29,IN,CA,12,28.7,18.46,IN,GB,9,45.9,32.52,OUT,GB,13,35.4,41.93,OUT,US,13,13.3,8.21,OUT,US,9,48.4,46.62,IN,US,14,35.3,114.38,OUT,US,15,48.8,85.95,IN,US,8,49.5,36.71,IN,US,16,40.7,56.69,IN,US,21,15.8,34.99,IN,US,11,56.2,61.5,OUT,US,11,68.8
678,0,clean,6.51,OUT,CA,10,33.7,69.26,IN,GB,18,71.7,115.33,OUT,US,22,29.0,65.35,OUT,US,19,36.5,97.63,OUT,CA,16,28.9,72.65,OUT,US,17,59.7,20.33,OUT,GB,22,32.2,26.87,OUT,US,17,62.6,42.23,IN,US,14,49.1,128.04,IN,US,14,13.1,29.59,OUT,US,19,62.4,78.63,IN,US,11,53.7,69.61,IN,US,16,17.8,194.21,IN,US,11,40.1,52.81,IN,US,14,12.0,13.41,OUT,CA,18,41.0,91.61,OUT,GB,18,49.5,302.01,OUT,US,14,45.3,96.54,IN,US,16,68.4,29.07,OUT,US,8,15.2,22.98,IN,GB,17,40.2,25.47,OUT,US,10,56.0,271.14,OUT,US,13,29.0,42.02,OUT,US,11,18.9,32.13,OUT,GB,9,27.5,48.1,IN,US,8,38.3,42.37,OUT,CA,18,26.0,191.35,OUT,US,18,14.4,24.25,OUT,GB,12,25.2,140.4,OUT,US,15,26.7
626,0,clean,45.14,OUT,US,19,68.4,39.3,IN,US,17,71.6,122.4,IN,CA,12,28.4,40.64,OUT,CA,10,67.4,43.77,OUT,GB,21,25.6,168.89,OUT,GB,9,62.0,81.99,OUT,US,9,18.2,206.47,IN,CA,14,57.4,149.49,IN,US,18,63.3,26.85,OUT,US,22,70.8,120.54,OUT,US,12,31.1,184.98,IN,CA,22,20.6,186.09,OUT,CA,15,40.1,120.36,IN,US,22,54.9,118.39,OUT,CA,8,28.3,42.86,OUT,US,10,66.0,27.94,OUT,US,20,44.9,41.19,IN,US,16,59.7,14.41,OUT,US,10,13.7,159.85,OUT,US,17,19.0,43.53,OUT,GB,18,35.1,153.4,IN,CA,11,58.1,20.39,OUT,GB,21,27.9,129.81,OUT,US,14,15.5,36.75,OUT,US,14,44.5,19.54,OUT,GB,16,61.4,200.68,OUT,GB,17,46.5,132.4,IN,US,9,59.0,64.68,IN,US,19,49.4,56.1,OUT,US,10,13.9
513,0,clean,32.86,OUT,GB,14,49.3,91.48,OUT,US,20,38.0,107.24,OUT,US,19,53.8,41.22,OUT,US,21,13.0,55.38,IN,US,16,28.0,32.5,IN,US,19,57.3,204.65,OUT,US,11,48.4,49.59,OUT,US,14,62.2,26.11,OUT,GB,14,62.5,30.79,IN,CA,15,18.0,60.43,OUT,GB,18,55.3,99.75,IN,US,10,38.7,18.75,OUT,US,21,20.5,239.4,IN,US,22,66.4,69.89,IN,US,10,26.5,79.29,IN,CA,20,41.8,50.51,IN,CA,21,33.8,55.45,OUT,CA,20,37.2,48.49,OUT,GB,11,65.6,123.25,IN,US,9,63.4,54.25,IN,GB,14,27.1,100.85,IN,US,22,50.9,38.59,IN,US,20,38.1,63.85,IN,CA,13,69.4,28.7,IN,US,14,64.3,144.49,OUT,US,13,48.7,28.02,OUT,GB,11,34.0,42.1,IN,US,21,64.0,42.44,OUT,US,14,27.5,41.13,IN,US,10,32.3
859,0,clean,260.24,OUT,US,9,49.0,65.19,OUT,GB,20,49.3,27.07,IN,US,11,60.0,38.38,OUT,CA,20,43.3,21.11,IN,GB,11,66.5,100.85,OUT,CA,20,45.9,34.17,OUT,US,10,31.2,4.74,IN,US,10,46.9,391.91,OUT,US,15,29.2,34.59,IN,GB,16,29.1,34.42,OUT,US,11,19.3,207.95,OUT,US,8,24.4,20.77,IN,GB,8,48.4,135.54,OUT,GB,19,36.0,34.13,IN,GB,8,60.0,18.93,IN,US,22,27.6,213.7,IN,CA,11,63.3,114.26,OUT,CA,21,25.0,113.98,IN,US,8,35.7,73.27,IN,CA,12,55.3,88.17,IN,GB,19,68.2,20.37,IN,US,16,71.3,59.7,IN,US,16,53.6,25.97,OUT,US,14,49.3,17.97,OUT,US,13,26.6,75.85,IN,CA,10,58.3,137.9,OUT,US,11,71.3,40.18,IN,CA,22,68.5,46.08,IN,GB,12,32.1,21.97,IN,CA,11,27.2
136,0,clean,90.64,OUT,US,17,50.1,31.23,OUT,US,14,36.7,209.13,OUT,US,16,27.1,11.83,OUT,US,20,12.4,155.86,IN,US,15,21.7,45.63,IN,GB,20,32.7,108.6,IN,CA,8,61.1,58.2,IN,US,17,70.6,135.86,OUT,GB,18,58.3,40.05,OUT,US,19,69.6,22.67,OUT,US,19,62.4,170.1,OUT,CA,12,60.7,49.86,OUT,GB,19,57.8,65.19,OUT,US,8,23.4,146.61,OUT,CA,22,53.5,23.91,OUT,CA,21,39.7,87.92,OUT,US,10,65.9,34.06,OUT,CA,8,56.3,49.12,OUT,CA,21,64.4,57.85,OUT,US,8,49.9,16.44,IN,US,17,38.1,29.28,IN,US,8,68.8,160.91,IN,US,13,35.5,110.94,OUT,CA,10,23.9,51.93,OUT,US,11,30.2,66.32,OUT,CA,14,23.4,43.15,IN,CA,18,38.1,161.62,IN,US,13,15.6,46.51,OUT,US,10,54.4,65.72,OUT,US,14,26.1
